"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm5652",2.49126118855796,-6.10345367804523e-07,0.00144269378241395,0.532614793792569,0.999901117806217
"Gm32442",13.2069967312174,-3.08218367930532e-06,0.00144269240284134,0.0809154014543741,0.999901117806217
"Ldah",2313.67638366694,-2.51922134224912e-06,0.00144255143369729,0.804315208218835,0.999901117806217
"Gm48898",86.7448135106471,-3.44317634269834e-06,0.00144267052243086,0.43120471751819,0.999901117806217
"Gdf7",37.1597760078638,-1.01631292888359e-06,0.00144268265005303,0.734415506292533,0.999901117806217
"Hs1bp3",1372.94402625239,-4.09127967280621e-06,0.00144263319663183,0.548229273286811,0.999901117806217
"BC106175",11.7465059410194,-1.03733359784341e-06,0.0014426916101576,0.517965679560911,0.999901117806217
"Rhob",62008.3602968398,1.82774260992391e-06,0.00144255087673483,0.859660209279242,0.999901117806217
"5033421B08Rik",66.2138921362317,4.73207752173247e-07,0.00144267404817036,0.904718133366434,0.999901117806217
"Pum2",9814.7274807973,2.82371376068531e-06,0.00144258938931715,0.748439275094663,0.999901117806217
"Gm4755",1.92710693955994,5.76621210556679e-08,0.00144269408069798,0.945902519457366,0.999901117806217
"Sdc1",16287.9349668518,-1.49544555927829e-06,0.00144263135896029,0.823282517951453,0.999901117806217
"Gm47391",3.64598021822042,-3.44144516567739e-07,0.00144269380121673,0.716642136922519,0.999901117806217
"Laptm4a",56678.4386351493,4.41193699614147e-06,0.00144260082708979,0.600486923012367,0.999901117806217
"Matn3",44.4121335860756,-2.25954378983712e-06,0.00144269106931473,0.414928016676318,0.999901117806217
"Wdr35",1895.11405170214,-5.47926139291649e-06,0.0014425796305667,0.555894947974271,0.999901117806217
"Ttc32",138.174432368707,-2.42258958336431e-07,0.00144266983766767,0.953162206710066,0.999901117806217
"Gm46323",54.9751808760076,-1.53189604602624e-06,0.00144268676839261,0.538430654196563,0.999901117806217
"Gm7099",15.6275668878817,2.04383540144385e-06,0.00144268807870584,0.387135512419498,0.999901117806217
"Osr1",6493.05721243684,-7.59233683627166e-06,0.00144265742704034,0.194532915785943,0.999901117806217
"Gm5182",75.9125069230892,2.74206634600045e-07,0.00144268353585959,0.926379610557999,0.999901117806217
