"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Esp38",0,0,0,0,0,0,1,0
"Tgif2-ps2",0,0,1,0,0,2,2,1
"Gm29748",0,0,0,0,1,0,0,0
"Crisp2",4,2,5,2,2,12,4,8
"Rhag",0,0,1,0,0,0,0,0
"9130008F23Rik",215,178,184,141,114,156,212,250
"Cenpq",165,194,153,157,166,204,274,310
"Mmut",2213,2195,2595,2117,2175,2250,2980,4100
"Ldha-ps3",0,2,6,6,1,6,4,8
"Gm6771",0,2,0,2,0,1,1,2
"Ptchd4",3,0,0,1,2,0,2,5
"Opn5",3,1,0,6,0,0,0,0
"Adgrf4",6,21,15,16,11,12,19,19
"Adgrf2",5,14,3,5,11,9,10,16
"Gm5978",0,2,0,0,0,0,0,0
"Cd2ap",2996,3641,4422,3868,3675,3851,5031,7107
"Tnfrsf21",1719,2158,2693,2926,3005,2371,2864,4439
"E130008D07Rik",4,24,12,17,18,9,29,23
"Adgrf1",0,5,2,0,0,1,3,1
"Adgrf5",2487,3638,4618,4806,3401,3651,3592,6568
"Gm25135",0,8,3,5,6,1,1,5
"Mep1a",0,2,0,3,0,5,2,3
"Ankrd66",0,2,4,4,2,0,5,1
"Pla2g7",343,456,309,362,444,345,670,503
"1700071M16Rik",0,0,0,0,0,0,0,1
"Tdrd6",4,9,0,1,1,2,6,10
"Slc25a27",301,349,332,321,408,275,547,573
"Cyp39a1",717,600,629,723,513,734,925,1079
"Gm25783",0,1,0,0,0,0,0,0
"Rcan2",4368,4181,3881,3412,3609,4309,6472,5203
"Enpp5",1098,948,1084,877,1135,1334,2268,1800
"Enpp4",866,813,1067,787,940,914,1397,1641
"Clic5",18,14,41,12,19,19,36,37
"Runx2",1431,2472,3461,3384,2487,2927,2493,4543
"Runx2os2",4,3,9,6,5,3,1,5
"Runx2os1",16,29,55,44,47,58,44,53
"Supt3",385,556,406,401,397,671,515,727
"Gm35097",2,0,0,3,1,5,0,0
"Gm4766",0,2,0,0,0,2,0,3
"Cdc5l",1932,2325,2583,2007,2132,2873,2649,3998
"B230354K17Rik",1301,1334,1620,1493,1343,1528,1737,2776
"Spats1",0,0,1,1,0,0,1,3
"Gm9104",2,3,7,5,8,6,9,6
"Aars2",711,862,1259,941,981,1106,1103,1553
"Tcte1",0,0,0,0,0,1,1,0
"Tmem151b",15,27,13,29,16,26,19,31
"Nfkbie",2214,3876,3828,3284,3633,3939,3638,4666
"Slc35b2",2768,3956,3431,3374,3514,5111,4866,5056
"Hsp90ab1",69911,93076,79947,72365,65293,113066,94563,123792
"Slc29a1",7208,6403,8636,6717,7485,9638,10148,10405
"Gm17080",1,5,2,9,3,1,0,0
"Mymx",1,2,0,2,0,2,1,3
"Capn11",0,6,4,68,3,103,0,1
"Tmem63b",2922,4723,4552,3899,3847,4804,3966,5427
"Mrpl14",721,674,502,417,603,1029,865,882
"1600014C23Rik",0,0,0,0,0,0,0,2
"F630040K05Rik",0,3,6,1,2,0,6,2
"Gm35692",0,0,0,1,2,2,4,0
"Gm41584",0,1,0,0,1,0,2,0
"Vegfa",6587,8134,9759,7250,6950,9728,10304,13423
"Gm36200",0,0,0,0,0,0,1,0
"Gm19969",0,0,0,0,0,4,0,0
"Mrps18a",1480,1643,1315,1120,1257,2005,1961,1837
"Rsph9",243,221,162,131,150,224,272,234
"Mad2l1bp",368,333,380,299,340,512,465,571
"Gtpbp2",2897,3206,3987,3769,3679,4063,4521,5817
"Polh",680,686,952,682,822,858,840,1494
"Xpo5",2482,3185,4502,3538,3590,4791,3821,6450
"Polr1c",1373,1448,1241,1194,1290,1891,1974,1944
"Yipf3",5949,5797,8292,6634,7310,9795,7524,10047
"Lrrc73",173,209,167,175,158,212,162,262
"Tjap1",1544,1816,2309,2080,2202,2714,2245,3691
"Dlk2",0,2,0,0,0,1,0,2
"Abcc10",504,652,784,800,805,701,770,1211
"Zfp318",1560,1739,2257,2063,1980,2079,2540,3596
"Gm9706",1,0,0,0,0,1,0,1
"Crip3",5,7,8,2,0,2,9,6
"Gm5093",3,3,3,2,1,5,3,1
"Ttbk1",5,0,5,2,0,7,5,6
"Dnph1",22,25,25,11,11,37,46,38
